,Year,Title,Album,Artist,Release_Date,Duration,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
37,2015,Fight Song,Wildfire,Rachel Platten,2016-01-01,204013,77,0.0549,0.564,0.714,0.0,0.155,-4.987,0.129,175.924,4
38,2015,Sugar (feat. Francesco Yates),Sugar,Robin Schulz,2015-09-25,219043,77,0.0185,0.636,0.815,0.0,0.163,-5.098,0.0581,123.063,4
39,2015,How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,2015-07-17,212640,76,0.0392,0.738,0.868,0.00169,0.388,-4.373,0.0731,122.003,4
40,2015,Take Me to Church,Hozier (Expanded Edition),Hozier,2014-09-19,241693,76,0.634,0.566,0.664,0.0,0.116,-5.303,0.0464,128.945,4
41,2015,oui,Late Nights: The Album,Jeremih,2015-12-04,238320,76,0.213,0.418,0.724,0.0,0.112,-3.724,0.0964,78.521,5
42,2015,Firestone,Cloud Nine,Kygo,2016-05-13,271640,76,0.393,0.704,0.634,3.17e-05,0.0952,-7.374,0.0428,113.927,4
43,2015,Renegades,VHS,X Ambassadors,2015-06-30,195200,76,0.0144,0.526,0.862,0.0597,0.229,-6.003,0.0905,90.052,4
44,2015,My House,My House,Flo Rida,2015-04-07,192190,76,0.0215,0.688,0.702,0.0,0.128,-4.792,0.0499,94.006,4
45,2015,In The Night,Beauty Behind The Madness,The Weeknd,2015-08-28,235653,76,0.0796,0.505,0.68,0.0,0.0465,-4.993,0.0714,168.022,3
46,2015,Stitches,Handwritten,Shawn Mendes,2015-04-14,206880,76,0.0151,0.752,0.754,0.0,0.0486,-6.684,0.0615,149.789,4
47,2015,Style,1989,Taylor Swift,2014-10-27,231000,75,0.00253,0.598,0.786,0.0016,0.117,-5.572,0.0383,95.019,4
48,2015,King Kunta,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,234693,75,0.00589,0.884,0.657,0.0,0.154,-4.569,0.0977,107.059,4
49,2015,I Don't Fuck With You,Dark Sky Paradise,Big Sean,2015-02-24,284386,75,0.0362,0.824,0.733,0.0,0.325,-5.474,0.0613,97.972,4
50,2015,Black Magic,Get Weird (Expanded Edition),Little Mix,2015-11-06,211786,75,0.0343,0.776,0.875,0.0,0.314,-5.535,0.0575,111.988,4
51,2015,When We Were Young,25,Adele,2015-11-20,290900,74,0.303,0.376,0.595,0.0,0.095,-5.936,0.0496,144.361,4
52,2015,679 (feat. Remy Boyz),679 (feat. Remy Boyz),Fetty Wap,2015-06-29,196693,74,0.00256,0.618,0.717,0.0,0.625,-5.738,0.318,190.05,4
53,2015,Stole the Show,Cloud Nine,Kygo,2016-05-13,223186,74,0.271,0.64,0.635,0.0,0.319,-7.565,0.226,100.034,4
54,2015,Want to Want Me,Everything Is 4,Jason Derulo,2015-05-29,207719,74,0.00906,0.775,0.68,0.0,0.109,-5.508,0.0629,114.025,4
55,2015,Runaway (U & I),Pharmacy,Galantis,2015-06-05,227073,74,0.00711,0.506,0.805,0.00193,0.0856,-4.119,0.0469,126.008,4
56,2015,Where Are Ü Now (with Justin Bieber),Skrillex and Diplo present Jack Ü,Jack Ü,2015-02-24,250285,74,0.041,0.432,0.781,4.21e-06,0.0789,-4.038,0.0567,139.432,4
57,2015,Unsteady,VHS,X Ambassadors,2015-06-30,193546,74,0.178,0.389,0.665,0.000732,0.116,-6.169,0.0644,117.055,4
58,2015,Trap Queen,Fetty Wap (Deluxe),Fetty Wap,2015-09-25,222093,74,0.0244,0.746,0.873,0.0,0.354,-3.803,0.128,148.075,4
59,2015,Worth It (feat. Kid Ink),Reflection (Deluxe),Fifth Harmony,2015-01-30,224573,73,0.063,0.884,0.765,7.04e-06,0.118,-3.865,0.0882,99.987,4
60,2015,Wildest Dreams,1989,Taylor Swift,2014-10-27,220440,73,0.0702,0.554,0.666,0.00593,0.106,-7.414,0.0747,140.056,4
61,2015,Never Forget You,So Good,Zara Larsson,2017-03-17,213427,73,0.00312,0.583,0.732,9.86e-06,0.269,-5.728,0.0457,145.992,4
62,2015,Send My Love (To Your New Lover),25,Adele,2015-11-20,223078,73,0.0355,0.688,0.533,3.48e-06,0.172,-8.363,0.0865,164.069,4
63,2015,Antidote,Rodeo (Expanded Edition),Travis Scott,2015-09-04,262693,73,0.00767,0.713,0.526,0.000148,0.124,-5.046,0.032,131.05,4
64,2015,Bitch Better Have My Money,Bitch Better Have My Money,Rihanna,2015-03-26,219305,73,0.0509,0.781,0.728,1.94e-06,0.257,-4.981,0.0621,102.99,4
65,2015,Die A Happy Man,Tangled Up,Thomas Rhett,2015-01-01,227426,73,0.418,0.595,0.389,1.39e-06,0.116,-9.245,0.0349,166.052,4
66,2015,Lips Are Movin,Title (Deluxe),Meghan Trainor,2015-01-09,182666,73,0.0506,0.775,0.825,1.03e-06,0.111,-5.402,0.0464,139.091,4
67,2015,Ex's & Oh's,Love Stuff,Elle King,2015-02-13,202173,72,0.0183,0.612,0.921,0.0,0.0576,-2.882,0.085,139.988,4
68,2015,Bad Blood,Bad Blood,Taylor Swift,2015-05-17,200106,72,0.0294,0.654,0.655,0.0,0.139,-7.388,0.106,170.16,4
69,2015,Do It Again,Do It Again,Pia Mia,2015-05-04,207746,72,0.0266,0.712,0.564,0.0,0.0874,-6.527,0.047,95.95,4
70,2015,Hello,25,Adele,2015-11-20,295502,73,0.33,0.578,0.43,0.0,0.0854,-6.134,0.0305,78.991,4
71,2015,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),I,Felix Jaehn,2018-02-16,186146,72,0.672,0.778,0.566,0.000197,0.0698,-6.959,0.0311,117.971,4
72,2015,No Type,SremmLife,Rae Sremmurd,2015-01-06,200080,72,0.0158,0.891,0.486,3.78e-06,0.0925,-7.803,0.159,125.01,4
73,2015,Ayo,Fan of A Fan The Album (Expanded Edition),Chris Brown,2015-02-24,225226,72,0.0399,0.823,0.563,0.0,0.0851,-5.095,0.0443,98.031,4
74,2015,The Heart Wants What It Wants,The Heart Wants What It Wants,Selena Gomez,2014-01-01,227373,71,0.053,0.616,0.789,0.0,0.142,-4.874,0.0377,83.066,4
75,2015,Spirits,Hope,The Strumbellas,2016-04-22,203653,71,0.17,0.556,0.657,0.0,0.113,-6.075,0.0265,80.529,4
76,2015,"Honey, I'm Good.",Magazines Or Novels,Andy Grammer,2014-08-05,199263,71,0.0324,0.752,0.775,0.0,0.351,-7.289,0.0546,122.014,4
77,2015,Jumpman,What A Time To Be Alive,Drake,2015-09-20,205879,71,0.0559,0.852,0.553,0.0,0.332,-7.286,0.187,142.079,4
78,2015,Please Don't Go,Please Don't Go,Joel Adams,2015-11-06,210580,71,0.0118,0.513,0.768,1.94e-05,0.294,-4.868,0.0587,84.264,4
