,Year,Title,Album,Artist,Release_Date,Duration,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time_Signature
8,2016,Hold Back The River,Chaos And The Calm,James Bay,2014-12-15,238746,64,0.0526,0.715,0.715,0.0,0.0936,-7.364,0.0904,134.923,4
9,2016,Victorious,Death of a Bachelor,Panic! At The Disco,2016-01-15,178600,67,0.00205,0.57,0.865,0.0,0.404,-4.518,0.0472,110.01,4
10,2016,Hallelujah,Death of a Bachelor,Panic! At The Disco,2016-01-15,180626,58,0.011,0.578,0.886,0.0,0.143,-4.348,0.0633,80.008,4
11,2016,Emperor's New Clothes,Death of a Bachelor,Panic! At The Disco,2016-01-15,158666,69,0.00302,0.562,0.904,0.0,0.0433,-4.947,0.0807,94.481,4
12,2016,This Is Gospel,"Too Weird to Live, Too Rare to Die!",Panic! At The Disco,2013-10-04,187186,66,0.00155,0.572,0.912,1.2e-06,0.102,-4.875,0.0707,156.073,4
13,2016,Miss Jackson (feat. LOLO),"Too Weird to Live, Too Rare to Die!",Panic! At The Disco,2013-10-04,192053,64,0.00394,0.642,0.873,0.0,0.175,-5.821,0.0551,82.002,4
14,2016,Ex's & Oh's,Love Stuff,Elle King,2015-02-13,202173,72,0.0183,0.612,0.921,0.0,0.0576,-2.882,0.085,139.988,4
15,2016,All My Love (feat. Ariana Grande & Machel Montano) [Remix],Peace Is The Mission,Major Lazer,2015-06-01,229750,0,0.0399,0.435,0.891,0.0,0.187,-3.907,0.178,115.166,4
16,2016,I Don't Want Her (feat. Problem),I Don't Want Her (feat. Problem) - Single,Eric Bellinger,2013-09-17,194142,45,0.0201,0.646,0.712,0.0,0.117,-4.538,0.0339,93.99,4
17,2016,Stitches,Handwritten,Shawn Mendes,2015-04-14,206880,80,0.0152,0.746,0.754,0.0,0.0486,-6.684,0.0676,149.882,4
18,2016,I Know What You Did Last Summer,I Know What You Did Last Summer,Shawn Mendes,2015-11-18,223853,0,0.119,0.686,0.754,0.0,0.138,-4.537,0.103,114.037,4
19,2016,Hide Away,Daya,Daya,2015-09-04,192381,20,0.222,0.884,0.826,2.29e-06,0.0719,-3.672,0.0853,94.997,4
20,2016,Roses,Roses,The Chainsmokers,2015-06-16,226738,73,0.0435,0.713,0.802,0.00377,0.309,-7.055,0.0561,100.001,4
21,2016,Marvin Gaye (feat. Meghan Trainor),Nine Track Mind,Charlie Puth,2016-01-29,190453,60,0.417,0.795,0.616,0.0,0.349,-5.281,0.06,110.015,4
22,2016,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,2016-01-29,217706,69,0.621,0.728,0.563,0.0,0.179,-8.053,0.134,100.017,4
23,2016,Suffer,Nine Track Mind,Charlie Puth,2016-01-29,210680,46,0.75,0.58,0.443,0.0,0.0742,-7.323,0.0498,175.938,3
24,2016,Mama Said,Mama Said,Lukas Graham,2015-10-22,206756,0,0.0229,0.748,0.867,1.28e-05,0.392,-4.715,0.0536,84.005,4
25,2016,PILLOWTALK,PILLOWTALK,ZAYN,2016-08-22,203686,60,0.104,0.588,0.702,0.0,0.089,-4.271,0.0496,124.909,4
26,2016,Down In the DM,Down In the DM,Yo Gotti,2015-10-28,181960,0,0.0017,0.779,0.648,3.87e-05,0.0891,-7.285,0.0468,152.879,4
27,2016,Once Upon a Time,Once Upon a Time,Mariahlynn,2015-02-19,156000,0,0.05,0.903,0.612,0.000123,0.0736,-7.789,0.319,100.013,4
28,2016,Don't Run,The Mess Remade,Bad Veins,2015-03-17,225995,0,0.0249,0.648,0.74,0.0,0.188,-6.879,0.0328,120.03,4
29,2016,Let It Go,Chaos And The Calm,James Bay,2014-12-15,260533,70,0.818,0.546,0.311,1.65e-05,0.107,-10.396,0.0288,147.464,4
30,2016,Let Her Go,All the Little Lights,Passenger,2012-06-29,252733,0,0.365,0.479,0.545,0.0,0.0963,-7.346,0.0688,74.897,4
31,2016,Take Me to Church,Take Me to Church EP,Hozier,2013-09-13,241586,43,0.59,0.572,0.661,0.0,0.121,-5.304,0.0472,129.093,4
32,2016,I'm Not The Only One,In The Lonely Hour (Deluxe Edition),Sam Smith,2014-01-01,239316,0,0.565,0.678,0.491,2.78e-05,0.0772,-5.815,0.0358,81.997,4
33,2016,I See Fire,x (Deluxe Edition),Ed Sheeran,2014-06-21,299146,0,0.638,0.641,0.176,5.14e-06,0.252,-11.692,0.0349,76.031,4
34,2016,When We Were On Fire - The Dark Of The Morning Version,Chaos And The Calm (Deluxe Edition),James Bay,2014-12-15,239720,33,0.365,0.801,0.414,0.0,0.092,-8.485,0.0424,115.966,4
35,2016,It Wasn't Me,The Boombastic Collection - Best of Shaggy,Shaggy,2008-01-01,227546,59,0.0503,0.852,0.604,0.0,0.327,-4.569,0.0642,94.762,4
36,2016,The Middle,Bleed American (Deluxe Edition),Jimmy Eat World,2001,168253,0,0.0424,0.629,0.897,0.0,0.263,-3.401,0.0483,161.944,4
37,2016,CHA CHA,#1EpicEP,DRAM,2015-03-03,250107,42,0.000537,0.734,0.743,3.02e-06,0.111,-6.689,0.0345,135.0,4
38,2016,PILLOWTALK REMIX (feat. Lil Wayne),PILLOWTALK REMIX (feat. Lil Wayne),ZAYN,2016-02-25,221609,46,0.0428,0.584,0.741,0.0,0.345,-6.075,0.17,116.1,4
39,2016,iT's YoU,iT's YoU,ZAYN,2016-02-26,230481,34,0.807,0.615,0.336,0.0272,0.108,-10.839,0.0345,124.945,4
40,2016,Accidently in Love,Hottest Hits for Kids : The Ultimate Party Album,Juice Music,2011-05-05,187973,0,0.434,0.7,0.882,0.0,0.079,-2.218,0.0354,138.0,4
41,2016,King Kunta,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,234693,74,0.00589,0.884,0.657,0.0,0.154,-4.569,0.0977,107.059,4
42,2016,Institutionalized,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,271773,61,0.112,0.539,0.731,1.19e-06,0.129,-5.085,0.453,81.114,4
43,2016,Alright,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,219333,80,0.0742,0.796,0.766,0.0,0.0827,-5.974,0.238,110.034,4
44,2016,Hood Politics,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,292520,60,0.145,0.731,0.661,0.0,0.12,-6.562,0.376,87.912,4
45,2016,i,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,336013,62,0.708,0.541,0.809,0.0,0.72,-4.286,0.324,120.094,4
46,2016,Work from Home,Work from Home,Fifth Harmony,2016-02-27,216575,0,0.102,0.803,0.631,7.39e-06,0.0858,-4.213,0.0444,104.999,4
47,2016,Cake By The Ocean,SWAAY,DNCE,2015-10-23,218440,0,0.147,0.771,0.76,0.0,0.053,-5.459,0.0514,119.0,4
48,2016,Jinx,SWAAY,DNCE,2015-10-23,216240,0,0.0499,0.594,0.732,0.0,0.137,-5.774,0.0364,99.912,4
49,2016,"Born To Hand Jive - From ""Grease Live!"" Music From The Television Event",Grease Live! (Music From The Television Event),Various Artists,2016-01-31,287933,33,0.000945,0.662,0.805,0.024,0.268,-5.613,0.0333,127.946,4
50,2016,Pay My Rent,SWAAY,DNCE,2015-10-23,193440,0,0.0903,0.687,0.727,0.0,0.1,-5.949,0.0635,112.981,4
51,2016,Toothbrush,SWAAY,DNCE,2015-10-23,231813,0,0.119,0.495,0.777,0.0,0.425,-5.764,0.177,104.458,4
52,2016,Love Yourself,Purpose (Deluxe),Justin Bieber,2015-11-13,233720,84,0.835,0.609,0.378,0.0,0.28,-9.828,0.438,100.418,4
53,2016,Hands To Myself,Revival,Selena Gomez,2015-10-09,200680,0,0.0147,0.811,0.499,2.44e-06,0.342,-7.161,0.118,111.016,4
54,2016,Sorry,Purpose (Deluxe),Justin Bieber,2015-11-13,200786,81,0.0797,0.654,0.76,0.0,0.299,-3.669,0.045,99.945,4
